t;y
0;-0.0010
0.0167;0.0010
0.0333;0.0024
0.05;0.0020
0.0667;0.0007
0.0833;-0.0014
0;-0.00105
0.0167;0.00101
0.0333;0.00237
0.05;0.00202
0.0667;0.000659
0.0833;-0.00138
0.1;-0.00377
0.117;-0.00889
0.133;-0.0120
0.15;-0.0161
0.167;-0.0212
0.183;-0.0246
0.2;-0.0283
0.217;-0.0321
0.233;-0.0345
0.25;-0.0375
0.267;-0.0352
0.283;-0.0328
0.3;-0.0294
0.317;-0.0252
0.333;-0.0225
0.35;-0.0195
0.367;-0.0171
0.383;-0.00887
0.4;-0.00614
0.417;-0.00274
0.433;-0.0000077
0.45;0.00340
0.467;0.00340
0.483;0.00238
0.5;-0.0000077
0.517;-0.00205
0.533;-0.00377
0.55;-0.00888
0.567;-0.0130
0.583;-0.0174
0.6;-0.0218
0.617;-0.0253
0.633;-0.0297
0.65;-0.0321
0.667;-0.0331
0.683;-0.0345
0.7;-0.0345
0.717;-0.0331
0.733;-0.0297
0.75;-0.0266
0.767;-0.0229
0.783;-0.0184
0.8;-0.0154
0.817;-0.0109
0.833;-0.00614
0.85;-0.00137
0.867;0.00136
0.883;0.00340
0.9;0.00340
0.917;0.00272
0.933;-0.0000077
0.95;-0.00205
0.967;-0.00480
0.983;-0.00923
1;-0.0126
1.017;-0.0178
1.033;-0.0218
1.05;-0.0266
1.067;-0.0290
1.083;-0.0317
1.1;-0.0331
1.117;-0.0352
1.133;-0.0345
1.15;-0.0328
1.167;-0.0304
1.183;-0.0287
1.2;-0.0256
1.217;-0.0218
1.233;-0.0218
1.25;-0.0191
1.267;-0.0150
1.283;-0.0109
1.3;-0.00615
1.317;-0.00206
1.333;0.000326
1.35;0.00204
1.367;-0.000349
1.383;-0.00274
1.4;-0.00615
1.417;-0.00889
1.433;-0.0123
1.45;-0.0154
1.467;-0.0178
1.483;-0.0205
1.5;-0.0232
1.517;-0.0259
1.533;-0.0287
1.55;-0.0307
1.567;-0.0324
1.583;-0.0331
1.6;-0.0331
1.617;-0.0314
1.633;-0.0283
1.65;-0.0252
1.667;-0.0225
1.683;-0.0181
1.7;-0.0147
1.717;-0.00853
1.733;-0.00683
1.75;-0.00411
1.767;-0.00275
1.783;-0.000690
1.8;-0.00205
1.817;-0.00409
1.833;-0.00614
1.85;-0.00820
1.867;-0.0109
1.883;-0.0137
1.9;-0.0167
1.917;-0.0202
1.933;-0.0239
1.95;-0.0273
1.967;-0.0297
1.983;-0.0341
2;-0.0348
2.017;-0.0348
2.033;-0.0314
2.05;-0.0273
2.068;-0.0242
2.083;-0.0208
2.102;-0.0167
2.118;-0.0116
2.135;-0.00889
2.152;-0.00547
2.168;-0.00343
2.185;-0.0000077
2.202;0.00136
2.218;-0.000364
2.235;-0.00308
