t;x
0;-0.001
0.016667;-0.00070496
0.033333;-0.00073578
0.05;-0.0010690
0.066667;-0.0010382
0.083333;-0.00065103
0.1;-0.00093802
0.116667;-0.00082246
0.133333;-0.00075311
0.15;-0.0010016
0.166667;-0.00088602
0.183333;-0.00080897
0.2;-0.00072422
0.216667;-0.00063947
0.233333;-0.00058554
0.25;-0.00085713
0.266667;-0.00091106
0.283333;-0.00062406
0.3;-0.00070111
0.316667;0.00022921
0.333333;-0.00051428
0.35;-0.00058362
0.366667;0.000044301
0.383333;-0.00014061
0.4;-0.00020224
0.416667;-0.00027929
0.433333;-0.00034092
0.45;-0.00041797
0.466667;-0.00041797
0.483333;-0.00039486
0.5;-0.00034092
0.516667;-0.00029470
0.533333;-0.00059710
0.55;-0.00048153
0.566667;-0.00038908
0.583333;-0.00028892
0.6;-0.00018876
0.616667;-0.00045264
0.633333;-0.00069340
0.65;-0.00063947
0.666667;-0.00061636
0.683333;-0.00024462
0.7;-0.00024462
0.716667;0.000065488
0.733333;0.00032937
0.75;-0.00042182
0.766667;-0.00050657
0.783333;-0.00026581
0.8;-0.00033515
0.816667;-0.00043530
0.833333;-0.00020224
0.85;-0.00031011
0.866667;-0.00037174
0.883333;-0.00041797
0.9;-0.00041797
0.916667;-0.00040256
0.933333;-0.00034092
0.95;-0.00029470
0.966667;-0.00091491
0.983333;-0.00081475
1;-0.00073771
1.016667;-0.00062214
1.033333;-0.00052968
1.05;-0.000080897
1.066667;-0.00036789
1.083333;-0.00064718
1.1;-0.00061636
1.116667;-0.00057013
1.133333;-0.00058554
1.15;-0.00062406
1.166667;-0.00033707
1.183333;-0.00037559
1.2;-0.00044493
1.216667;-0.00052968
1.233333;-0.00052968
1.25;-0.00025040
1.266667;-0.00068377
1.283333;-0.00077623
1.3;-0.00054317
1.316667;-0.00063562
1.333333;-0.00068955
1.35;-0.00038715
1.366667;-0.00033322
1.383333;-0.00062021
1.4;-0.00054317
1.416667;-0.00082246
1.433333;-0.00074541
1.45;-0.00067607
1.466667;-0.0013040
1.483333;-0.00090143
1.5;-0.00049887
1.516667;-0.00043723
1.533333;-0.00071652
1.55;-0.00067029
1.566667;-0.00063177
1.583333;-0.00061636
1.6;-0.00061636
1.616667;-0.00031396
1.633333;-0.000042375
1.65;-0.00011172
1.666667;-0.00017335
1.683333;-0.00027351
1.7;-0.0000096306
1.716667;-0.00014831
1.733333;-0.00018683
1.75;-0.00093032
1.766667;-0.00096114
1.783333;-0.00032552
1.8;0.000046227
1.816667;0.000092454
1.833333;-0.00020224
1.85;-0.00049694
1.866667;-0.00077623
1.883333;-0.00071459
1.9;-0.00098618
1.916667;-0.00090913
1.933333;-0.00082438
1.95;-0.00074734
1.966667;-0.00069340
1.983333;-0.00093417
2;-0.00091876
2.016667;-0.00091876
2.033333;-0.00099581
2.05;-0.00074734
2.068333;-0.00047575
2.083333;-0.00055280
2.101667;0.000036596
2.118333;-0.00076082
2.135;-0.00082246
2.151667;-0.00055858
2.168333;-0.00060480
2.185;-0.00034092
2.201667;-0.00037174
2.218333;-0.0010151
2.235;-0.00061251

