teta, ampiezza
0.2,-147.8
0.3,-145.6
0.4,-131.6
0.5,-106.9
0.6,-76.1
0.7,-43.2
0.8,-11.9
0.9,14.9
1,35.3
1.1,48.4
1.2,54
1.3,53.1
1.4,46.6
1.5,36.2
1.6,23.9
1.7,11.5
1.8,0.2
1.9,-8.8
2,-15.1
2.1,-18.5
2.2,-19.3
2.3,-18
2.4,-14.9
2.5,-11
2.6,-6.5
2.7,-2.3
2.8,1.3
2.9,4.1
3,6.1
3.1,7
3.2,7
3.3,6.3
3.4,5.2
3.5,4
3.6,2.5
3.7,1.3
3.8,0.2
3.9,-0.5
4,-1.1
4.1,-1.3
4.2,-1.3
4.3,-0.9
4.4,-0.5
4.5,-0.2
4.6,0.2
4.7,0.5
4.8,0.7
4.9,0.9
5,0.9
5.1,0.9
5.2,0.9
5.3,0.9
5.4,0.7
5.5,0.7
5.6,0.7
5.7,0.7
5.8,0.5
5.9,0.5
