tempo,ampiezza
0.8,-147.1
0.9,-137
1,-111.4
1.1,-74.3
1.2,-29.3
1.3,19.3
1.4,65.5
1.5,104.4
1.6,130.1
1.7,140.4
1.8,133.6
1.9,111.1
2,74.9
2.1,31.5
2.2,-16.7
2.3,-62.6
2.4,-101.2
2.5,-128.7
2.6,-141.3
2.7,-138.4
2.8,-120.2
2.9,-89.3
3,-47.7
3.1,-2.2
3.2,44.3
3.3,85.3
3.4,116.5
3.5,133.6
3.6,134.3
3.7,118.8
3.8,89.5
3.9,49.7
4,4.1
4.1,-41.2
4.2,-82.3
4.3,-113.8
4.4,-133
4.5,-137.3
4.6,-126
4.7,-101
4.8,-64.6
4.9,-21.8
5,23.8
5.1,66.6
5.2,100.6
5.3,123.3
5.4,131.2
5.5,123.3
5.6,100.4
5.7,65.9
5.8,23.6
5.9,-20.2
6,-62.8
6.1,-98.3
6.2,-121.5
6.3,-132.3
6.4,-128.2
6.5,-109.6
6.6,-79
6.7,-40.3
6.8,3.6
6.9,45.5
7,83.7
7.1,110.9
7.2,124.9
7.3,124.2
7.4,108.4
7.5,80.1
7.6,42.3
7.7,-0.2
7.8,-42.7
7.9,-79.9
8,-108.5
8.1,-124.9
8.2,-127.3
8.3,-115.7
8.4,-91.3
8.5,-57.4
8.6,-16.4
8.7,25.7
8.8,64.4
8.9,96.1
9,116.1
9.1,122
9.2,113.2
9.3,91.3
9.4,58.5
9.5,19.1
9.6,-22.5
9.7,-61.4
9.8,-93.2
9.9,-114.8
10,-123.5
10.1,-118.4
10.2,-99.7
10.3,-71.1
10.4,-34.6
10.5,6.5
10.6,46.1
10.7,79.9
10.8,104.9
10.9,117
11,115
11.1,99.4
11.2,72
11.3,36.5
11.4,-2.9
11.5,-42.5
11.6,-76.5
11.7,-102.2
11.8,-116.6
11.9,-118.1
12,-106.2
12.1,-83
12.2,-50.6
12.3,-12.1
12.4,26.5
12.5,62.6
12.6,91.1
12.7,108.9
12.8,113.4
12.9,104
13,82.8
13.1,51.5
13.2,14.6
13.3,-24.5
13.4,-59.4
13.5,-88
13.6,-107.3
13.7,-114.3
13.8,-108.7
13.9,-90.7
14,-63.4
14.1,-28.8
14.2,9
14.3,45.4
14.4,75.6
14.5,97.7
14.6,108.2
14.7,105.5
14.8,90.2
14.9,64.4
15,31.5
15.1,-5.6
15.2,-41.2
15.3,-72.4
15.4,-95.4
15.5,-107.6
15.6,-108
15.7,-96.5
15.8,-74.2
15.9,-43.7
16,-7.7
16.1,27.4
16.2,59.8
16.3,85.1
16.4,100.4
16.5,103.7
16.6,94.5
16.7,74.2
16.8,45.4
16.9,11.7
17,-23.8
17.1,-55.8
17.2,-81.7
17.3,-98.6
17.4,-104.4
17.5,-98.6
17.6,-82.1
17.7,-56.2
17.8,-23.8
17.9,10.4
18,43.6
18.1,71.1
18.2,90.7
18.3,99.5
18.4,96.1
18.5,81.5
18.6,57.4
18.7,26.6
18.8,-7
18.9,-39.8
19,-67.7
